schedule_id,flight_date,flight_number,departure_time,arrival_time,base_price
550,2022-01-29,EI 432,07:15:00,11:00:00,48.83
551,2022-01-29,EI 482,07:15:00,10:00:00,35.83
552,2022-01-29,EI 158,10:00:00,11:20:00,38.33
553,2022-01-29,EI 521,10:05:00,11:00:00,57
554,2022-01-29,EI 631,10:20:00,11:05:00,41.21
555,2022-01-29,EI 604,10:25:00,13:00:00,15.33
556,2022-01-29,EI 681,10:30:00,11:55:00,151.97
557,2022-01-29,EI 483,10:50:00,13:50:00,56
558,2022-01-29,EI 333,11:20:00,12:50:00,58.98
559,2022-01-29,EI 593,11:45:00,13:30:00,35.45
560,2022-01-29,EI 433,11:50:00,13:30:00,67.57
561,2022-01-29,EI 159,12:15:00,13:40:00,63.39
562,2022-01-29,EI 605,13:45:00,14:25:00,44.54
563,2022-01-30,EI 520,06:40:00,09:25:00,32.83
564,2022-01-30,EI 680,06:55:00,10:10:00,66.83
565,2022-01-30,EI 332,07:05:00,10:30:00,34.83
566,2022-01-30,EI 592,07:05:00,10:55:00,24.33
567,2022-01-30,EI 660,07:10:00,11:00:00,13.83
568,2022-01-30,EI 432,07:15:00,11:00:00,21.3
569,2022-01-30,EI 158,10:00:00,11:20:00,38.33
570,2022-01-30,EI 521,10:05:00,11:00:00,87
571,2022-01-30,EI 604,10:25:00,13:00:00,15.33
572,2022-01-30,EI 681,10:55:00,12:15:00,88.97
573,2022-01-30,EI 333,11:20:00,12:50:00,58.98
574,2022-01-30,EI 644,11:20:00,14:50:00,40.83
575,2022-01-30,EI 593,11:45:00,13:30:00,67.95
576,2022-01-30,EI 433,11:50:00,13:30:00,38.07
577,2022-01-30,EI 661,11:50:00,13:50:00,45.92
578,2022-01-30,EI 159,12:15:00,13:40:00,63.39
579,2022-01-30,EI 605,13:45:00,14:25:00,44.54
580,2022-01-30,EI 645,15:40:00,17:20:00,114.29
581,2022-01-30,EI 676,16:20:00,20:20:00,38.33
582,2022-01-30,EI 677,21:10:00,23:25:00,38.33
583,2022-01-31,EI 520,06:40:00,09:25:00,32.83
584,2022-01-31,EI 630,06:50:00,09:30:00,18.06
585,2022-01-31,EI 680,06:55:00,10:10:00,50.33
586,2022-01-31,EI 332,07:05:00,10:30:00,34.83
587,2022-01-31,EI 592,07:05:00,10:55:00,24.33
588,2022-01-31,EI 432,07:15:00,11:00:00,18.63
589,2022-01-31,EI 482,07:15:00,10:00:00,35.83
590,2022-01-31,EI 158,10:00:00,11:20:00,38.33
591,2022-01-31,EI 521,10:05:00,11:00:00,117
592,2022-01-31,EI 631,10:20:00,11:05:00,41.21
593,2022-01-31,EI 604,10:25:00,13:00:00,15.33
594,2022-01-31,EI 483,10:50:00,13:50:00,56
595,2022-01-31,EI 681,10:55:00,12:15:00,82.97
596,2022-01-31,EI 333,11:20:00,12:50:00,58.98
597,2022-01-31,EI 593,11:45:00,13:30:00,67.95
598,2022-01-31,EI 433,11:50:00,13:30:00,38.07
599,2022-01-31,EI 159,12:15:00,13:40:00,63.39
600,2022-01-31,EI 605,13:45:00,14:25:00,44.54
